,State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
180212,New York,New York,36,61,2012-01-01,61,Moderate,PM2.5,36-061-0134,4
180213,New York,New York,36,61,2012-01-02,54,Moderate,PM2.5,36-061-0128,3
180214,New York,New York,36,61,2012-01-03,54,Moderate,PM2.5,36-061-0128,3
180215,New York,New York,36,61,2012-01-04,57,Moderate,PM2.5,36-061-0128,4
180216,New York,New York,36,61,2012-01-05,64,Moderate,PM2.5,36-061-0134,3
180217,New York,New York,36,61,2012-01-06,68,Moderate,PM2.5,36-061-0135,2
180218,New York,New York,36,61,2012-01-07,69,Moderate,PM2.5,36-061-0135,4
180219,New York,New York,36,61,2012-01-08,53,Moderate,PM2.5,36-061-0135,3
180220,New York,New York,36,61,2012-01-09,56,Moderate,PM2.5,36-061-0135,3
180221,New York,New York,36,61,2012-01-10,71,Moderate,PM2.5,36-061-0134,4
180222,New York,New York,36,61,2012-01-11,61,Moderate,PM2.5,36-061-0135,2
180223,New York,New York,36,61,2012-01-12,56,Moderate,PM2.5,36-061-0128,2
180224,New York,New York,36,61,2012-01-13,57,Moderate,PM2.5,36-061-0134,4
180225,New York,New York,36,61,2012-01-14,58,Moderate,PM2.5,36-061-0128,3
180226,New York,New York,36,61,2012-01-15,54,Moderate,PM2.5,36-061-0135,3
180227,New York,New York,36,61,2012-01-16,57,Moderate,PM2.5,36-061-0135,4
180228,New York,New York,36,61,2012-01-17,65,Moderate,PM2.5,36-061-0135,3
180229,New York,New York,36,61,2012-01-18,53,Moderate,PM2.5,36-061-0128,3
180230,New York,New York,36,61,2012-01-19,68,Moderate,PM2.5,36-061-0134,4
180231,New York,New York,36,61,2012-01-20,59,Moderate,PM2.5,36-061-0135,3
180232,New York,New York,36,61,2012-01-21,66,Moderate,PM2.5,36-061-0135,3
180233,New York,New York,36,61,2012-01-22,63,Moderate,PM2.5,36-061-0135,4
180234,New York,New York,36,61,2012-01-23,63,Moderate,PM2.5,36-061-0135,3
180235,New York,New York,36,61,2012-01-24,61,Moderate,PM2.5,36-061-0135,3
180236,New York,New York,36,61,2012-01-25,59,Moderate,PM2.5,36-061-0135,4
180237,New York,New York,36,61,2012-01-26,64,Moderate,PM2.5,36-061-0135,3
180238,New York,New York,36,61,2012-01-27,61,Moderate,PM2.5,36-061-0135,3
180239,New York,New York,36,61,2012-01-28,68,Moderate,PM2.5,36-061-0134,4
180240,New York,New York,36,61,2012-01-29,42,Good,PM2.5,36-061-0128,3
180241,New York,New York,36,61,2012-01-30,55,Moderate,PM2.5,36-061-0134,3
180242,New York,New York,36,61,2012-01-31,58,Moderate,PM2.5,36-061-0134,4
180243,New York,New York,36,61,2012-02-01,64,Moderate,PM2.5,36-061-0134,3
180244,New York,New York,36,61,2012-02-02,62,Moderate,PM2.5,36-061-0135,3
180245,New York,New York,36,61,2012-02-03,53,Moderate,PM2.5,36-061-0135,4
180246,New York,New York,36,61,2012-02-04,57,Moderate,PM2.5,36-061-0135,3
180247,New York,New York,36,61,2012-02-05,55,Moderate,PM2.5,36-061-0135,3
180248,New York,New York,36,61,2012-02-06,58,Moderate,PM2.5,36-061-0134,4
180249,New York,New York,36,61,2012-02-07,57,Moderate,PM2.5,36-061-0135,3
180250,New York,New York,36,61,2012-02-08,59,Moderate,PM2.5,36-061-0128,3
180251,New York,New York,36,61,2012-02-09,60,Moderate,PM2.5,36-061-0134,4
180252,New York,New York,36,61,2012-02-10,60,Moderate,PM2.5,36-061-0134,3
180253,New York,New York,36,61,2012-02-11,63,Moderate,PM2.5,36-061-0128,3
180254,New York,New York,36,61,2012-02-12,52,Moderate,PM2.5,36-061-0135,4
180255,New York,New York,36,61,2012-02-13,55,Moderate,PM2.5,36-061-0128,3
180256,New York,New York,36,61,2012-02-14,61,Moderate,PM2.5,36-061-0134,3
180257,New York,New York,36,61,2012-02-15,86,Moderate,PM2.5,36-061-0134,4
180258,New York,New York,36,61,2012-02-16,65,Moderate,PM2.5,36-061-0135,3
180259,New York,New York,36,61,2012-02-17,58,Moderate,PM2.5,36-061-0128,3
180260,New York,New York,36,61,2012-02-18,55,Moderate,PM2.5,36-061-0134,4
180261,New York,New York,36,61,2012-02-19,47,Good,PM2.5,36-061-0135,3
180262,New York,New York,36,61,2012-02-20,48,Good,PM2.5,36-061-0128,3
